cq_id;use_case;scenario_step;dimension;question
CQ00001;UC-1;;Retrieval;List HTTP requests associated with UC-1 filtered by presence of a payload body.
CQ00002;UC-1;;Retrieval;Enumerate HTTP requests associated with UC-1 filtered by status code.
CQ00003;UC-1;;Retrieval;List HTTP requests associated with UC-1 filtered by job identifier.
CQ00004;UC-1;;Retrieval;Enumerate HTTP requests associated with UC-1 filtered by method.
CQ00005;UC-1;;Quantification;Count HTTP requests for UC-1 filtered by presence of parameters.
CQ00006;UC-1;;Retrieval;Enumerate HTTP responses associated with UC-1 filtered by scheme and authority.
CQ00007;UC-1;;Retrieval;Enumerate HTTP responses associated with UC-1 filtered by path.
CQ00008;UC-1;;Retrieval;List HTTP responses associated with UC-1 filtered by status code.
CQ00009;UC-1;;Retrieval;Enumerate HTTP responses associated with UC-1 filtered by timestamp window.
CQ00010;UC-1;;Quantification;Summarize the count of HTTP responses for UC-1 filtered by status code.
CQ00011;UC-1;;Retrieval;Retrieve request–response exchanges associated with UC-1 filtered by status code.
CQ00012;UC-1;;Retrieval;Return request–response exchanges associated with UC-1 filtered by presence of headers.
CQ00013;UC-1;;Retrieval;Show request–response exchanges associated with UC-1 filtered by presence of a payload body.
CQ00014;UC-1;;Retrieval;Show request–response exchanges associated with UC-1 filtered by scheme and authority.
CQ00015;UC-1;;Quantification;How many request–response exchanges are available for UC-1 filtered by method.
CQ00016;UC-1;;Retrieval;List URI targets associated with UC-1 filtered by presence of cookies.
CQ00017;UC-1;;Retrieval;Show URI targets associated with UC-1 filtered by path.
CQ00018;UC-1;;Retrieval;Show URI targets associated with UC-1 filtered by job identifier.
CQ00019;UC-1;;Retrieval;Enumerate URI targets associated with UC-1 filtered by presence of parameters.
CQ00020;UC-1;;Quantification;Count URI targets for UC-1 filtered by presence of a payload body.
CQ00021;UC-1;;Retrieval;List headers associated with UC-1 filtered by presence of headers.
CQ00022;UC-1;;Retrieval;Enumerate headers associated with UC-1 filtered by timestamp window.
CQ00023;UC-1;;Retrieval;Show headers associated with UC-1 filtered by path.
CQ00024;UC-1;;Retrieval;Enumerate headers associated with UC-1 filtered by presence of parameters.
CQ00025;UC-1;;Quantification;How many headers are available for UC-1 filtered by presence of cookies.
CQ00026;UC-1;;Retrieval;List cookies associated with UC-1 filtered by path.
CQ00027;UC-1;;Retrieval;Retrieve cookies associated with UC-1 filtered by scheme and authority.
CQ00028;UC-1;;Retrieval;List cookies associated with UC-1 filtered by status code.
CQ00029;UC-1;;Retrieval;Return cookies associated with UC-1 filtered by presence of a payload body.
CQ00030;UC-1;;Quantification;Summarize the count of cookies for UC-1 filtered by presence of a payload body.
CQ00031;UC-1;;Retrieval;Show parameters associated with UC-1 filtered by dataset.
CQ00032;UC-1;;Retrieval;Retrieve parameters associated with UC-1 filtered by presence of cookies.
CQ00033;UC-1;;Retrieval;Show parameters associated with UC-1 filtered by method.
CQ00034;UC-1;;Retrieval;List parameters associated with UC-1 filtered by job identifier.
CQ00035;UC-1;;Quantification;How many parameters are available for UC-1 filtered by job identifier.
CQ00036;UC-1;;Retrieval;Return HTML artifacts associated with UC-1 filtered by timestamp window.
CQ00037;UC-1;;Retrieval;Show HTML artifacts associated with UC-1 filtered by status code.
CQ00038;UC-1;;Retrieval;Enumerate HTML artifacts associated with UC-1 filtered by method.
CQ00039;UC-1;;Retrieval;Retrieve HTML artifacts associated with UC-1 filtered by presence of headers.
CQ00040;UC-1;;Quantification;Compute the number of HTML artifacts for UC-1 filtered by dataset.
CQ00041;UC-1;;Retrieval;Return findings associated with UC-1 filtered by scheme and authority.
CQ00042;UC-1;;Retrieval;Show findings associated with UC-1 filtered by status code.
CQ00043;UC-1;;Retrieval;List findings associated with UC-1 filtered by dataset.
CQ00044;UC-1;;Retrieval;Retrieve findings associated with UC-1 filtered by presence of cookies.
CQ00045;UC-1;;Quantification;Compute the number of findings for UC-1 filtered by job identifier.
CQ00046;UC-1;;Retrieval;Retrieve ingestion jobs associated with UC-1 filtered by status code.
CQ00047;UC-1;;Retrieval;Show ingestion jobs associated with UC-1 filtered by presence of headers.
CQ00048;UC-1;;Retrieval;Retrieve ingestion jobs associated with UC-1 filtered by presence of parameters.
CQ00049;UC-1;;Retrieval;Retrieve ingestion jobs associated with UC-1 filtered by job identifier.
CQ00050;UC-1;;Quantification;Compute the number of ingestion jobs for UC-1 filtered by timestamp window.
CQ00051;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve HTTP requests associated with UC-1 during Session preparation and connectivity validation filtered by job identifier.
CQ00052;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve HTTP requests associated with UC-1 during Session preparation and connectivity validation filtered by presence of parameters.
CQ00053;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate HTTP requests associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00054;UC-1;Session preparation and connectivity validation;Retrieval;Return HTTP requests associated with UC-1 during Session preparation and connectivity validation filtered by presence of cookies.
CQ00055;UC-1;Session preparation and connectivity validation;Quantification;Count HTTP requests for UC-1 during Session preparation and connectivity validation filtered by path.
CQ00056;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate HTTP responses associated with UC-1 during Session preparation and connectivity validation filtered by path.
CQ00057;UC-1;Session preparation and connectivity validation;Retrieval;List HTTP responses associated with UC-1 during Session preparation and connectivity validation filtered by method.
CQ00058;UC-1;Session preparation and connectivity validation;Retrieval;Return HTTP responses associated with UC-1 during Session preparation and connectivity validation filtered by job identifier.
CQ00059;UC-1;Session preparation and connectivity validation;Retrieval;Return HTTP responses associated with UC-1 during Session preparation and connectivity validation filtered by presence of parameters.
CQ00060;UC-1;Session preparation and connectivity validation;Quantification;Summarize the count of HTTP responses for UC-1 during Session preparation and connectivity validation filtered by job identifier.
CQ00061;UC-1;Session preparation and connectivity validation;Retrieval;List request–response exchanges associated with UC-1 during Session preparation and connectivity validation filtered by timestamp window.
CQ00062;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate request–response exchanges associated with UC-1 during Session preparation and connectivity validation filtered by presence of a payload body.
CQ00063;UC-1;Session preparation and connectivity validation;Retrieval;Show request–response exchanges associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00064;UC-1;Session preparation and connectivity validation;Retrieval;Show request–response exchanges associated with UC-1 during Session preparation and connectivity validation filtered by scheme and authority.
CQ00065;UC-1;Session preparation and connectivity validation;Quantification;Compute the number of request–response exchanges for UC-1 during Session preparation and connectivity validation filtered by path.
CQ00066;UC-1;Session preparation and connectivity validation;Retrieval;Show URI targets associated with UC-1 during Session preparation and connectivity validation filtered by presence of parameters.
CQ00067;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate URI targets associated with UC-1 during Session preparation and connectivity validation filtered by method.
CQ00068;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve URI targets associated with UC-1 during Session preparation and connectivity validation filtered by presence of headers.
CQ00069;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate URI targets associated with UC-1 during Session preparation and connectivity validation filtered by scheme and authority.
CQ00070;UC-1;Session preparation and connectivity validation;Quantification;Compute the number of URI targets for UC-1 during Session preparation and connectivity validation filtered by path.
CQ00071;UC-1;Session preparation and connectivity validation;Retrieval;Show headers associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00072;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve headers associated with UC-1 during Session preparation and connectivity validation filtered by timestamp window.
CQ00073;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate headers associated with UC-1 during Session preparation and connectivity validation filtered by status code.
CQ00074;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate headers associated with UC-1 during Session preparation and connectivity validation filtered by method.
CQ00075;UC-1;Session preparation and connectivity validation;Quantification;Compute the number of headers for UC-1 during Session preparation and connectivity validation filtered by scheme and authority.
CQ00076;UC-1;Session preparation and connectivity validation;Retrieval;Show cookies associated with UC-1 during Session preparation and connectivity validation filtered by presence of headers.
CQ00077;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve cookies associated with UC-1 during Session preparation and connectivity validation filtered by scheme and authority.
CQ00078;UC-1;Session preparation and connectivity validation;Retrieval;List cookies associated with UC-1 during Session preparation and connectivity validation filtered by path.
CQ00079;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve cookies associated with UC-1 during Session preparation and connectivity validation filtered by presence of cookies.
CQ00080;UC-1;Session preparation and connectivity validation;Quantification;Count cookies for UC-1 during Session preparation and connectivity validation filtered by job identifier.
CQ00081;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve parameters associated with UC-1 during Session preparation and connectivity validation filtered by path.
CQ00082;UC-1;Session preparation and connectivity validation;Retrieval;Return parameters associated with UC-1 during Session preparation and connectivity validation filtered by presence of headers.
CQ00083;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate parameters associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00084;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve parameters associated with UC-1 during Session preparation and connectivity validation filtered by method.
CQ00085;UC-1;Session preparation and connectivity validation;Quantification;Summarize the count of parameters for UC-1 during Session preparation and connectivity validation filtered by presence of a payload body.
CQ00086;UC-1;Session preparation and connectivity validation;Retrieval;Return HTML artifacts associated with UC-1 during Session preparation and connectivity validation filtered by status code.
CQ00087;UC-1;Session preparation and connectivity validation;Retrieval;Show HTML artifacts associated with UC-1 during Session preparation and connectivity validation filtered by timestamp window.
CQ00088;UC-1;Session preparation and connectivity validation;Retrieval;Return HTML artifacts associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00089;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate HTML artifacts associated with UC-1 during Session preparation and connectivity validation filtered by presence of a payload body.
CQ00090;UC-1;Session preparation and connectivity validation;Quantification;Count HTML artifacts for UC-1 during Session preparation and connectivity validation filtered by presence of headers.
CQ00091;UC-1;Session preparation and connectivity validation;Retrieval;List findings associated with UC-1 during Session preparation and connectivity validation filtered by status code.
CQ00092;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate findings associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00093;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate findings associated with UC-1 during Session preparation and connectivity validation filtered by path.
CQ00094;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve findings associated with UC-1 during Session preparation and connectivity validation filtered by presence of cookies.
CQ00095;UC-1;Session preparation and connectivity validation;Quantification;How many findings are available for UC-1 during Session preparation and connectivity validation filtered by job identifier.
CQ00096;UC-1;Session preparation and connectivity validation;Retrieval;List ingestion jobs associated with UC-1 during Session preparation and connectivity validation filtered by scheme and authority.
