cq_id;use_case;scenario_step;dimension;question
CQ00001;UC-1;;Retrieval;List HTTP requests associated with UC-1 filtered by presence of a payload body.
CQ00002;UC-1;;Retrieval;Enumerate HTTP requests associated with UC-1 filtered by status code.
CQ00003;UC-1;;Retrieval;List HTTP requests associated with UC-1 filtered by job identifier.
CQ00004;UC-1;;Retrieval;Enumerate HTTP requests associated with UC-1 filtered by method.
CQ00005;UC-1;;Quantification;Count HTTP requests for UC-1 filtered by presence of parameters.
CQ00006;UC-1;;Retrieval;Enumerate HTTP responses associated with UC-1 filtered by scheme and authority.
CQ00007;UC-1;;Retrieval;Enumerate HTTP responses associated with UC-1 filtered by path.
CQ00008;UC-1;;Retrieval;List HTTP responses associated with UC-1 filtered by status code.
CQ00009;UC-1;;Retrieval;Enumerate HTTP responses associated with UC-1 filtered by timestamp window.
CQ00010;UC-1;;Quantification;Summarize the count of HTTP responses for UC-1 filtered by status code.
CQ00011;UC-1;;Retrieval;Retrieve request–response exchanges associated with UC-1 filtered by status code.
CQ00012;UC-1;;Retrieval;Return request–response exchanges associated with UC-1 filtered by presence of headers.
CQ00013;UC-1;;Retrieval;Show request–response exchanges associated with UC-1 filtered by presence of a payload body.
CQ00014;UC-1;;Retrieval;Show request–response exchanges associated with UC-1 filtered by scheme and authority.
CQ00015;UC-1;;Quantification;How many request–response exchanges are available for UC-1 filtered by method.
CQ00016;UC-1;;Retrieval;List URI targets associated with UC-1 filtered by presence of cookies.
CQ00017;UC-1;;Retrieval;Show URI targets associated with UC-1 filtered by path.
CQ00019;UC-1;;Retrieval;Enumerate URI targets associated with UC-1 filtered by presence of parameters.
CQ00020;UC-1;;Quantification;Count URI targets for UC-1 filtered by presence of a payload body.
CQ00028;UC-1;;Retrieval;List cookies associated with UC-1 filtered by status code.
CQ00029;UC-1;;Retrieval;Return cookies associated with UC-1 filtered by presence of a payload body.
CQ00030;UC-1;;Quantification;Summarize the count of cookies for UC-1 filtered by presence of a payload body.
CQ00033;UC-1;;Retrieval;Show parameters associated with UC-1 filtered by method.
CQ00041;UC-1;;Retrieval;Return findings associated with UC-1 filtered by scheme and authority.
CQ00042;UC-1;;Retrieval;Show findings associated with UC-1 filtered by status code.
CQ00043;UC-1;;Retrieval;List findings associated with UC-1 filtered by dataset.
CQ00044;UC-1;;Retrieval;Retrieve findings associated with UC-1 filtered by presence of cookies.
CQ00046;UC-1;;Retrieval;Retrieve ingestion jobs associated with UC-1 filtered by status code.
CQ00051;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve HTTP requests associated with UC-1 during Session preparation and connectivity validation filtered by job identifier.
CQ00052;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve HTTP requests associated with UC-1 during Session preparation and connectivity validation filtered by presence of parameters.
CQ00053;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate HTTP requests associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00054;UC-1;Session preparation and connectivity validation;Retrieval;Return HTTP requests associated with UC-1 during Session preparation and connectivity validation filtered by presence of cookies.
CQ00055;UC-1;Session preparation and connectivity validation;Quantification;Count HTTP requests for UC-1 during Session preparation and connectivity validation filtered by path.
CQ00056;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate HTTP responses associated with UC-1 during Session preparation and connectivity validation filtered by path.
CQ00057;UC-1;Session preparation and connectivity validation;Retrieval;List HTTP responses associated with UC-1 during Session preparation and connectivity validation filtered by method.
CQ00058;UC-1;Session preparation and connectivity validation;Retrieval;Return HTTP responses associated with UC-1 during Session preparation and connectivity validation filtered by job identifier.
CQ00059;UC-1;Session preparation and connectivity validation;Retrieval;Return HTTP responses associated with UC-1 during Session preparation and connectivity validation filtered by presence of parameters.
CQ00060;UC-1;Session preparation and connectivity validation;Quantification;Summarize the count of HTTP responses for UC-1 during Session preparation and connectivity validation filtered by job identifier.
CQ00061;UC-1;Session preparation and connectivity validation;Retrieval;List request–response exchanges associated with UC-1 during Session preparation and connectivity validation filtered by timestamp window.
CQ00062;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate request–response exchanges associated with UC-1 during Session preparation and connectivity validation filtered by presence of a payload body.
CQ00063;UC-1;Session preparation and connectivity validation;Retrieval;Show request–response exchanges associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00064;UC-1;Session preparation and connectivity validation;Retrieval;Show request–response exchanges associated with UC-1 during Session preparation and connectivity validation filtered by scheme and authority.
CQ00065;UC-1;Session preparation and connectivity validation;Quantification;Compute the number of request–response exchanges for UC-1 during Session preparation and connectivity validation filtered by path.
CQ00066;UC-1;Session preparation and connectivity validation;Retrieval;Show URI targets associated with UC-1 during Session preparation and connectivity validation filtered by presence of parameters.
CQ00067;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate URI targets associated with UC-1 during Session preparation and connectivity validation filtered by method.
CQ00068;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve URI targets associated with UC-1 during Session preparation and connectivity validation filtered by presence of headers.
CQ00069;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate URI targets associated with UC-1 during Session preparation and connectivity validation filtered by scheme and authority.
CQ00070;UC-1;Session preparation and connectivity validation;Quantification;Compute the number of URI targets for UC-1 during Session preparation and connectivity validation filtered by path.
CQ00073;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate headers associated with UC-1 during Session preparation and connectivity validation filtered by status code.
CQ00074;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate headers associated with UC-1 during Session preparation and connectivity validation filtered by method.
CQ00084;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve parameters associated with UC-1 during Session preparation and connectivity validation filtered by method.
CQ00085;UC-1;Session preparation and connectivity validation;Quantification;Summarize the count of parameters for UC-1 during Session preparation and connectivity validation filtered by presence of a payload body.
CQ00091;UC-1;Session preparation and connectivity validation;Retrieval;List findings associated with UC-1 during Session preparation and connectivity validation filtered by status code.
CQ00092;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate findings associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00093;UC-1;Session preparation and connectivity validation;Retrieval;Enumerate findings associated with UC-1 during Session preparation and connectivity validation filtered by path.
CQ00094;UC-1;Session preparation and connectivity validation;Retrieval;Retrieve findings associated with UC-1 during Session preparation and connectivity validation filtered by presence of cookies.
CQ00099;UC-1;Session preparation and connectivity validation;Retrieval;List ingestion jobs associated with UC-1 during Session preparation and connectivity validation filtered by status code.
CQ00101;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate HTTP requests associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of a payload body.
CQ00102;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate HTTP requests associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00103;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return HTTP requests associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by status code.
CQ00104;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve HTTP requests associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by method.
CQ00105;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Summarize the count of HTTP requests for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00106;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Show HTTP responses associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by status code.
CQ00107;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return HTTP responses associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by path.
CQ00108;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return HTTP responses associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by job identifier.
CQ00109;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return HTTP responses associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of parameters.
CQ00110;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Count HTTP responses for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by scheme and authority.
CQ00111;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve request–response exchanges associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by scheme and authority.
CQ00112;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve request–response exchanges associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of parameters.
CQ00113;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve request–response exchanges associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of cookies.
CQ00114;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate request–response exchanges associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by path.
CQ00115;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;How many request–response exchanges are available for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00151;UC-1;Curated selection and evidence submission;Retrieval;List HTTP requests associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00152;UC-1;Curated selection and evidence submission;Retrieval;List HTTP requests associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00153;UC-1;Curated selection and evidence submission;Retrieval;Return HTTP requests associated with UC-1 during Curated selection and evidence submission filtered by presence of headers.
CQ00154;UC-1;Curated selection and evidence submission;Retrieval;Enumerate HTTP requests associated with UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00155;UC-1;Curated selection and evidence submission;Quantification;Count HTTP requests for UC-1 during Curated selection and evidence submission filtered by job identifier.
CQ00156;UC-1;Curated selection and evidence submission;Retrieval;Retrieve HTTP responses associated with UC-1 during Curated selection and evidence submission filtered by path.
CQ00157;UC-1;Curated selection and evidence submission;Retrieval;Show HTTP responses associated with UC-1 during Curated selection and evidence submission filtered by timestamp window.
CQ00158;UC-1;Curated selection and evidence submission;Retrieval;List HTTP responses associated with UC-1 during Curated selection and evidence submission filtered by status code.
CQ00159;UC-1;Curated selection and evidence submission;Retrieval;Retrieve HTTP responses associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00160;UC-1;Curated selection and evidence submission;Quantification;Compute the number of HTTP responses for UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00161;UC-1;Curated selection and evidence submission;Retrieval;Enumerate request–response exchanges associated with UC-1 during Curated selection and evidence submission filtered by method.
