cq_id;use_case;scenario_step;dimension;question;sparql;required_features;pass_rule
CQ-001;UC-HTTP-1;;Retrieval;Which HTTP messages are described in the dataset?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""message"" ""class"" <http://www.w3.org/2011/http#Message>)
      (""message"" ""class"" <http://w3id.org/http#Message>)
      (""message"" ""class"" <http://localhost/onto/ontowebpt#Message>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";message;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-002;UC-HTTP-1;;Retrieval;Which HTTP requests are present?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""request"" ""class"" <http://www.w3.org/2011/http#Request>)
      (""request"" ""class"" <http://w3id.org/http#Request>)
      (""request"" ""class"" <http://localhost/onto/ontowebpt#Request>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";request;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-003;UC-HTTP-1;;Retrieval;Which HTTP responses are present?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""response"" ""class"" <http://www.w3.org/2011/http#Response>)
      (""response"" ""class"" <http://w3id.org/http#Response>)
      (""response"" ""class"" <http://localhost/onto/ontowebpt#Response>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";response;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-004;UC-HTTP-1;;Retrieval;For each request, what is the associated response?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""request"" ""class"" <http://www.w3.org/2011/http#Request>)
      (""request"" ""class"" <http://w3id.org/http#Request>)
      (""request"" ""class"" <http://localhost/onto/ontowebpt#Request>)
      (""response"" ""class"" <http://www.w3.org/2011/http#Response>)
      (""response"" ""class"" <http://w3id.org/http#Response>)
      (""response"" ""class"" <http://localhost/onto/ontowebpt#Response>)
      (""req_resp_link"" ""prop"" <http://www.w3.org/2011/http#resp>)
      (""req_resp_link"" ""prop"" <http://w3id.org/http#resp>)
      (""req_resp_link"" ""prop"" <http://localhost/onto/ontowebpt#resp>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";request,response,req_resp_link;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-005;UC-HTTP-1;;Validation;Are there requests without an associated response?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""request"" ""class"" <http://www.w3.org/2011/http#Request>)
      (""request"" ""class"" <http://w3id.org/http#Request>)
      (""request"" ""class"" <http://localhost/onto/ontowebpt#Request>)
      (""req_resp_link"" ""prop"" <http://www.w3.org/2011/http#resp>)
      (""req_resp_link"" ""prop"" <http://w3id.org/http#resp>)
      (""req_resp_link"" ""prop"" <http://localhost/onto/ontowebpt#resp>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";request,req_resp_link;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-006;UC-HTTP-1;;Validation;Are there responses not linked to any request?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""response"" ""class"" <http://www.w3.org/2011/http#Response>)
      (""response"" ""class"" <http://w3id.org/http#Response>)
      (""response"" ""class"" <http://localhost/onto/ontowebpt#Response>)
      (""req_resp_link"" ""prop"" <http://www.w3.org/2011/http#resp>)
      (""req_resp_link"" ""prop"" <http://w3id.org/http#resp>)
      (""req_resp_link"" ""prop"" <http://localhost/onto/ontowebpt#resp>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";response,req_resp_link;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-007;UC-HTTP-1;;Retrieval;What is the method used for each request?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""request"" ""class"" <http://www.w3.org/2011/http#Request>)
      (""request"" ""class"" <http://w3id.org/http#Request>)
      (""request"" ""class"" <http://localhost/onto/ontowebpt#Request>)
      (""method"" ""class"" <http://www.w3.org/2011/http#Method>)
      (""method"" ""class"" <http://w3id.org/http#Method>)
      (""method"" ""class"" <http://localhost/onto/ontowebpt#Method>)
      (""method_name"" ""prop"" <http://www.w3.org/2011/http#methodName>)
      (""method_name"" ""prop"" <http://w3id.org/http#methodName>)
      (""method_name"" ""prop"" <http://localhost/onto/ontowebpt#methodName>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";request,method,method_name;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-008;UC-HTTP-1;;Retrieval;Which HTTP methods appear in the requests?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""method"" ""class"" <http://www.w3.org/2011/http#Method>)
      (""method"" ""class"" <http://w3id.org/http#Method>)
      (""method"" ""class"" <http://localhost/onto/ontowebpt#Method>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";method;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-009;UC-HTTP-1;;Quantification;How many requests were made in total?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""request"" ""class"" <http://www.w3.org/2011/http#Request>)
      (""request"" ""class"" <http://w3id.org/http#Request>)
      (""request"" ""class"" <http://localhost/onto/ontowebpt#Request>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";request;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-010;UC-HTTP-1;;Quantification;How many responses were recorded in total?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""response"" ""class"" <http://www.w3.org/2011/http#Response>)
      (""response"" ""class"" <http://w3id.org/http#Response>)
      (""response"" ""class"" <http://localhost/onto/ontowebpt#Response>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";response;AND(strict): PASS if the query returns 0 rows (no missing required_features).
